ID,Created at,Updated at,Label,Description,Form ID,Order,Api name,UUID,Type,Parent ID,Delete Parent ID,Acrofieldlabel,Section ID,Excluded,Partial label,Custom,Show group label,Height,Page,Width,X,Y,Unified field ID,Delete,Hidden,Toggle description
3388298,2025-06-26T11:43:47.910437Z,2025-06-26T11:43:47.910438Z,Personal Information Ssn,,52471,1,personal-information_SSN,b16a5b67-d144-4d5f-90c1-b808501195fd,TextField,,Delete Parent ID,personal-information_SSN,8261,false,personal-information_SSN,false,false,14.00100000000009,0,107.0,469.0,683.968,1,Delete,false,false
2964968,2025-06-26T11:43:47.910461Z,2025-06-26T11:43:47.910462Z,Personal Information Zip,,52471,2,personal-information_ZIP,8627a9fa-cc56-4f3b-ba9f-4585b04879d1,TextField,,Delete Parent ID,personal-information_ZIP,8261,false,personal-information_ZIP,false,false,13.23599999999999,0,138.77299999999997,441.891,636.323,2,Delete,false,false
4842409,2025-06-26T11:43:47.910444Z,2025-06-26T11:43:47.910445Z,Address,,52471,3,personal-information_address,4087984c-2f27-44d5-8901-c08a42326917,TextField,,Delete Parent ID,personal-information_address,8261,false,personal-information_address,false,false,14.000999999999976,0,540.0,36.0,659.967,3,Delete,false,false
6711373,2025-06-26T11:43:47.910448Z,2025-06-26T11:43:47.910449Z,City,,52471,4,personal-information_city,3b6a03a2-e774-4344-9531-c99cf7e21e4d,TextField,,Delete Parent ID,personal-information_city,8261,false,personal-information_city,false,false,14.000999999999976,0,267.166,36.0,635.966,4,Delete,false,false
8812368,2025-06-26T11:43:47.910225Z,2025-06-26T11:43:47.910409Z,Name,,52471,5,personal-information_first-name-MI,d2893a0d-e521-46a6-a9b5-7ee4ebd4f2ce,TextField,,Delete Parent ID,personal-information_first-name-MI,8261,false,personal-information_first-name-MI,false,false,14.00100000000009,0,215.25,36.0,683.968,5,Delete,false,false
6805566,2025-06-26T11:43:47.910428Z,2025-06-26T11:43:47.910429Z,Name,,52471,6,personal-information_last-name,073c89be-f683-4536-8c05-897157542041,TextField,,Delete Parent ID,personal-information_last-name,8261,false,personal-information_last-name,false,false,14.00100000000009,0,214.25,253.0,683.968,6,Delete,false,false
4502163,2025-06-26T11:43:47.910452Z,2025-06-26T11:43:47.910453Z,Personal Information Rate Of Withholding,,52471,7,personal-information_rate-of-withholding,560875fb-f029-46e6-b41b-9f5a341d8ce1,TextField,,Delete Parent ID,personal-information_rate-of-withholding,8261,false,personal-information_rate-of-withholding,false,false,11.998999999999967,0,57.60000000000002,504.0,509.969,7,Delete,false,false
5556599,2025-06-26T11:43:47.910458Z,2025-06-26T11:43:47.910458Z,State,,52471,8,personal-information_state,2b1e5e25-0849-4209-9c08-014515d32e91,TextField,,Delete Parent ID,personal-information_state,8261,false,personal-information_state,false,false,14.000999999999976,0,134.952,305.474,635.558,8,Delete,false,false
8962020,2025-06-26T11:43:47.910469Z,2025-06-26T11:43:47.910470Z,Date,,52471,1,sign-here_date,e3a5ab0a-2512-4b29-9833-f0ea878ba3a9,TextField,,Delete Parent ID,sign-here_date,8265,false,sign-here_date,false,false,21.399,0,131.44899999999996,445.553,476.336,1,Delete,false,false
1779733,2025-06-26T11:43:47.910465Z,2025-06-26T11:43:47.910466Z,Signature,,52471,2,sign-here_signature,19afe7c5-312d-4d6d-9436-667a43aff6f6,Signature,,Delete Parent ID,sign-here_signature,8265,false,sign-here_signature,false,false,21.399,0,362.2505,71.0745,476.336,2,Delete,false,false
